"","cross_LGAa_1","cross_LGAb_1","vis_LGA_1","snow_LGA_1","TS_LGA_1","rain_LGA_1","status_LGA","A_LGA","AirDelay_LGA"
"1",1.38918542133544,7.87846202409766,10,"FALSE","FALSE","FALSE",0,44,4.12
"2",1.38918542133544,7.87846202409766,10,"FALSE","FALSE","FALSE",0,30,2.5
"3",1.38918542133544,7.87846202409766,10,"FALSE","FALSE","FALSE",0,40,4.62
"7",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",1,36,-0.95
"8",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",1,38,0.85
"9",3.42020143325669,9.39692620785908,10,"FALSE","FALSE","FALSE",1,38,0.03
"13",2.05212085995401,7,10,"FALSE","FALSE","FALSE",0,36,5.41
"14",2.05212085995401,7,10,"FALSE","FALSE","FALSE",0,15,7.38
"15",2.05212085995401,7,10,"FALSE","FALSE","FALSE",0,21,6.76
"16",0,7,10,"FALSE","FALSE","FALSE",0,20,4.9
"17",0,7,10,"FALSE","FALSE","FALSE",0,23,0.52
"18",0,7,10,"FALSE","FALSE","FALSE",0,26,2.35
"19",2.73616114660535,7.51754096628727,10,"FALSE","FALSE","FALSE",0,18,-2.74
"20",2.73616114660535,7.51754096628727,10,"FALSE","FALSE","FALSE",0,36,9.22
"21",2.73616114660535,7.51754096628727,10,"FALSE","FALSE","FALSE",0,10,0.7
"22",0,7,10,"FALSE","FALSE","FALSE",0,14,-0.2
"23",0,7,10,"FALSE","FALSE","FALSE",0,12,-2.53
"24",0,7,10,"FALSE","FALSE","FALSE",0,10,-1
"25",4.92403876506104,6.57784834550136,10,"FALSE","FALSE","FALSE",0,37,9.59
"26",4.92403876506104,6.57784834550136,10,"FALSE","FALSE","FALSE",0,22,11.1
"27",4.92403876506104,6.57784834550136,10,"FALSE","FALSE","FALSE",0,38,4.92
"28",4.92403876506104,0.868240888334652,10,"FALSE","FALSE","FALSE",0,33,1.83
"29",4.92403876506104,0.868240888334652,10,"FALSE","FALSE","FALSE",0,36,5.84
"30",4.92403876506104,0.868240888334652,10,"FALSE","FALSE","FALSE",0,37,5.46
"31",4.92403876506104,6.57784834550136,10,"FALSE","FALSE","FALSE",0,34,1.31
"32",4.92403876506104,6.57784834550136,10,"FALSE","FALSE","FALSE",0,36,3.5
"33",4.92403876506104,6.57784834550136,10,"FALSE","FALSE","FALSE",0,39,4.27
"34",4.92403876506104,0.868240888334652,10,"FALSE","FALSE","FALSE",0,31,-0.42
"35",4.92403876506104,0.868240888334652,10,"FALSE","FALSE","FALSE",0,39,2.61
"36",4.92403876506104,0.868240888334652,10,"FALSE","FALSE","FALSE",0,37,2.24
"37",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,44,3.05
